Data,Dalle,Alle,Dove,Descrizione
04/12/2016,14.30,18.00,Via Garibaldi angolo via Tripoli,Via Garibaldi angolo via Tripoli h 14.30/18 Te' volu' la bicicleta ... Ora giustela e pedala (Lo zen e l'arte della manutenzione della bicicletta) - a cura di ABC Desio - La festa dell'albero a cura di Legambiente Desio
04/12/2016,15.00,18.00,Via Garibaldi,Via Garibaldi h 15/18 Musica e luci per le strade a cura Della Scuola Civica di Musica di Desio e dei commercianti
04/12/2016,15.00,,Centro Girasole,Centro Girasole - via San Pietro h 15 Il mondo a tavola - I piatti delle feste a cura di Desio Cittàaperta - info: desiocittaperta@gmail.com
04/12/2016,15.30,,Circolo Prodesio,Circolo Prodesio - via Garibaldi, 81 h 15.30 Stradivari in concerto - Guido Rimonda suonerà il suo Stradivari a cura degli Amici della Musica HVK Ingresso su prenotazione: marco.mologni@gmail.com tel. 339 1352286
06/12/2016,21.00,,Circolo Prodesio,Circolo Prodesio - via Garibaldi 81 h 21 4° centenario della morte di Shakespeare incontro con Dimitri Patrizi
08/12/2016,10.00,18.00,Piazza Conciliazione,Piazza Conciliazione h 10/18 Mercatino del libro usato a cura del Forum bimbi di Chernoby
08/12/2016,10.00,23.00,Piazza Conciliazione,Piazza Conciliazione h 10/23 Mercato “Sapori e tradizioni in piazza”
08/12/2016,15.30,17.00,Piazza Conciliazione,Piazza Conciliazione h 15.30 e h 17 Circo moderno - Ingresso libero
08/12/2016,16.00,18.00,Piazza Conciliazione e vie adiacenti,Piazza Conciliazione e vie adiacenti h 16/18 Nataline itineranti a cura di ARDEN Luogo del possibile
08/12/2016,17.00,19.30,Piazza Conciliazione e vie adiacenti,Piazza Conciliazione e vie adiacenti h 17/19.30 Armotrad: voci e suoni del Natale itinerante a cura dello Specchio Sonoro
08/12/2016,15.00,18.00,Via Garibaldi,Via Garibaldi h 15/18 Musica e luci per le strade a cura Della Scuola Civica di Musica di Desio e dei commercianti
09/12/2016,10.00,23.00,Piazza Conciliazione,Piazza Conciliazione h 10/23 Mercato “Sapori e tradizioni in piazza”
09/12/2016,15.30,17.00,Piazza Conciliazione,Piazza Conciliazione h 15.30 e h 17 Circo moderno
10/12/2016,10.00,18.00,Piazza Conciliazione,Piazza Conciliazione h 10/18 Mercatino del libro usato a cura del Forum bimbi di Chernoby
10/12/2016,10.00,23.00,Piazza Conciliazione,Piazza Conciliazione h 10/23 Mercato “Sapori e tradizioni in piazza”
10/12/2016,15.30,17.00,Piazza Conciliazione,Piazza Conciliazione h 15.30 e h 17 Circo moderno
10/12/2016,14.00,20.00,Villa Tittoni,Villa Tittoni h 14/20 Aspettando il Natale Esposizione di hobbistica di articoli e oggetti artigianali di Natale A cura della Contrada Dügana
10/12/2016,16.00,,Villa Tittoni,Villa Tittoni h 16 Intrattenimento natalizio con il Coro del Santuario del Crocifisso
10/12/2016,10.00,,Biblioteca civica,Biblioteca civica h 10 Sez. Ragazzi Fiabe in gioco - letture a cura della Porta Socchiusa
10/12/2016,16.00,,Biblioteca civica,Biblioteca civica h 16 Sala SoStare Mulungu e la leggenda del fuoco Spettacolo teatrale con il Teatro dell’elica
10/12/2016,21.00,,Teatro Il Centro,Teatro Il Centro - via Conciliazione 17 h 21 Concerto di Natale del Corpo Musicale Pio XI Ingresso libero
11/12/2016,10.00,18.00,Piazza Conciliazione,Piazza Conciliazione h 10/18 Mercatino del libro usato a cura del Forum bimbi di Chernoby
11/12/2016,10.00,23.00,Piazza Conciliazione,Piazza Conciliazione h 10/23 Mercato “Sapori e tradizioni in piazza”
11/12/2016,10.00,19.00,Villa Tittoni,Villa Tittoni h 10/19 Aspettando il Natale Esposizione di hobbistica di articoli e oggetti artigianali di Natale
11/12/2016,15.00,,Villa Tittoni,Villa Tittoni ore 15 Premiazione dei partecipanti al concorso Stelle di Natale
11/12/2016,17.00,,Villa Tittoni,Villa Tittoni ore 17 Poesie di Guareschi lette da Enrico Beruschi con accompagnamento musicale di Emanuela Ferrari
11/12/2016,10.00,19.00,Via Lampugnani,Via Lampugnani h 10/19 Mercatini di Natale
11/12/2016,15.30,17.00,Largo Baden Powell,Largo Baden Powell h 15.30 e h 17 Circo moderno
11/12/2016,14.40,18.00,Via Garibaldi angolo via Tripoli,Via Garibaldi angolo via Tripoli h 14.30/18 I volti dell’Africa Mostra fotografica di Gianluca Crippa Lo scambio conveniente (Celo .... Manca) A cura di Legambiente Desio e lo Spazio Bianco
11/12/2016,16.00,,Teatro Il Centro,Teatro Il Centro - via Conciliazione 17 - Rassegna Domenica a Teatro h 16 Nico cerca un amico della compagnia Il Baule volante Segue merenda gratuita per bambini Info tel. 0362 621678 - 3493257087
11/12/2016,21.00,,Palestra Dolomiti,Palestra Dolomiti - via Dolomiti h 21 Serata danzante a cura della Bocciofila Parco
15/12/2016,21.00,,Auditorium Banco Desio,Auditorium Banco Desio - via Rovagnati ang. Via Parini h 21 Concerto rassegna natalizia a cura della Corale San Pio X
